,scrape_date,details,min_soil_temp,max_soil_temp,min_space,max_space,min_harvest_days,max_harvest_days,new_companions,S,T,P,avoids
0,2022-10-24 11:15:40.203136,"Amaranth sp are frequently grown as flower plants and have many colour variations. 
Amaranth tricolor is known as Chinese spinach and has an insignificant flower.
Needs a warm sunny position.
Avoid heavy soils.
Poor germination rates are common",64,86,20,20,49,56,"{'corn', 'onions', 'tomatoes', 'egg plant', 'peppers'}",set(),set(),set(),set()
1,2022-10-24 11:15:41.823406,"Angelica is a biennial herb-growing the first year and flowering the second.
Angelica likes moist, rich soil that is slightly acid, growing best in semi-shade. It can be grown from seeds, but they must be sown within a few weeks otherwise they lose their viability. Angelica will self seed if seed heads are left on the plant.
Young plants will die back in winter and will need mulching in frost-prone areas. Then they will grow again in spring and produce flowers.
NOTE: Angelica pachycarpa sold as an ornamental garden plant is not edible. It can be distinguished from Angelica archangelica as it has bright shiny leaves.",50,77,18,18,540,540,"{'mint', 'lemon balm'}",set(),set(),{5},set()
2,2022-10-24 11:15:43.608548,"Superthistles growing to 1.2-1.3m high with a spread of 1.2x1.2m . 
Very pretty, can be part of a herbacious border.
Harvest from second year. Artichokes grow particularly well in sandy soil.
Can be propagated by suckers or offsets.
In temperate/warm areas a well fertilised plant will live for about five years and throw up suckers each year. Artichokes aren't hardy enough to overwinter in areas with very cold winters. In cold areas choose a hardy variety from a local supplier and grow it as an annual, with 10 days' exposure to cool daytime temperatures during spring. Transplant only when all danger of frost is past in your area.
Aphids and earwigs can be a nuisance.",59,64,63,79,294,399,set(),{2},{4},{4},set()
3,2022-10-24 11:15:45.324794,"Plant crowns (roots) 20-40cm apart and a few cm (1 inch) deep in well manured soil. The asparagus shoots grow in spring. Harvest the shoots which are bigger than 1-2cm/half-inch in diameter. Leave the rest to grow into the leafy ferns (1.5m/5-6ft tall) which will feed the crowns to give a crop next year. In autumn the ferns will be covered in bright red poisonous berries.
Leave the ferns to die down in autumn, then trim off the dead stalks and pile on plenty of rotted manure/compost to give the roots plenty of food to produce new stems in spring.
Harvest by cutting off the stalk, close to the ground. From the third year you can get an additional crop by letting the first lot of ferns grow, then bending down the stalks to break them. A second crop of shoots will grow and can be harvested. Leave subsequent shoots to grow on to ferns. Asparagus does not like continuously wet and warm soil. It grows better where there is a cool or frosty season.",61,86,8,16,730,1095,"{'parsley', 'basil', 'nasturtiums', 'lettuce'}",{3},{5},set(),"{'root vegetables', 'garlic', 'onions'}"
4,2022-10-24 11:15:46.759048,"This low spreading plant has small trifoliate leaves, and deep crimson flowers are borne in pairs. Harvest pods when approximately 2.5cm (1"") long. ( about 80 days)
Asparagus pea is easy to cultivate. It needs average moisture, full sun, and ordinary soil.
It needs a long growing season to flower and fruit properly, so start it indoors in cooler areas.
Only the pods are edible for Lotus tetragonobolus.
The other asparagus pea is the tropical plant Psophocarpus tetragonolobus, also known as Goa bean.
Support with twigs to keep the stems off the ground. Protect from slugs and snails. 
Pick pods when small as they become hard and dry if left too long.",59,68,8,10,56,77,set(),set(),set(),{5},set()
5,2022-10-24 11:15:48.501265,"A frost tender low-growing herb. Basil is a culinary herb prominently featured in Italian cuisine, and also plays a major role in the Southeast Asian cuisines of Thailand, Vietnam, Cambodia, and Laos. The plant tastes somewhat like anise, with a strong, pungent sweet smell.
There are many varieties including Thai, purple ruffles, and lemon.
In frost-free regions perennial basil varieties will survive for years and the bush will keep on getting bigger and bigger.
Can be grown inside in pots in winter. As the plant develops, pinch out the top to encourage bushy growth.
Pick off the flowers to encourage more leaf growth.",64,95,8,10,70,84,{'tomato'},{3},{4},"{4, 5}",set()
6,2022-10-24 11:15:50.239736,"Grow beans up fences, trellis, sweet corn, trees. Almost anywhere can be 'vertically productive'.
Keep well watered and pick regularly to encourage new flowers. Watch out for snails, as they will eat through the stems near ground level, and will completely eat newly sprouted beans. If you have nice new beans plants one day, and none the next, then it is probably slugs or snails.",61,86,4,8,63,77,"{'dill', 'strawberry', 'spinach', 'zucchini', 'beets', 'carrots', 'cucumbers', 'summer savory', 'wild marigold', 'radish', 'sweetcorn', 'brassicas', 'lettuce', 'tagates minuta'}",set(),set(),{5},"{'leek', 'florence fennel', 'chives', 'allium', 'onions', 'garlic'}"
7,2022-10-24 11:15:51.981005,"Traditionally sown in rows, dwarf beans also grow well 'broadcast' or scattered over an area. Just scatter  the seed  (don't worry about the odd ones which are close up). Cover with soil, potting mix, or compost and firm down with the back of a spade or rake. Grown this way the beans will mostly shade out competing weeds and 'self-mulch'.
Keep watered and watch for shield bugs and green caterpillars
Pick the beans regularly to encourage new flowers. Flowering will slow right down if you let the beans get too large (hard and stringy) on the plants.
For a continuous crop, plant more seed as soon as the previous planting starts to flower.
Protect against snails and slugs - they will completely destroy newly sprouted beans, and will eat the leaves off grown plants.",61,86,2,6,49,70,"{'dill', 'strawberry', 'spinach', 'beets', 'carrots', 'cucumbers', 'summer savory', 'wild marigold', 'radish', 'sweetcorn', 'brassicas', 'lettuce', 'tagates minuta'}",set(),set(),"{5, 6}","{'leek', 'chives', 'allium', 'onions', 'garlic', 'sunflower'}"
8,2022-10-24 11:15:53.647152,"Soak seeds in water 24 hours before planting so that you can separate the seeds. 
Thinning is nearly always required as seedlings emerge from a seedball of several seeds. If you don't thin them, you will get a number of rather pathetic plants which don't grow to an edible size.
Harvest in 55 - 70 days but will keep in ground for longer.
Keep well-watered as dry beetroot develop a woody and inedible core.
Tip from the Italian Gardener ' Make sure the top of the beet's bulb is covered with soil; this keeps the entire bulb the same color and prevents 'corkiness' at the top of the bulb.""
For tasty and tender beetroot, start harvesting at golfball-size.",45,77,8,12,49,70,"{'dill', 'dwarf beans', 'silverbeet', 'cabbage', 'swiss chard', 'onions', 'peas', 'strawberries', 'lettuce'}",set(),set(),"{3, 4, 5, 6, 7}","{'sweetcorn', 'asparagus', 'spinach', 'carrots'}"
9,2022-10-24 11:15:55.048812,"A tall, attractive plant, often grown in flowerbeds. Bright blue star-shaped edible flowers.
Grow in a sunny spot with well drained fertile soil. Borage dies down in the winter, but probably you will not need to buy any more seeds as it self seeds quite vigorously and spreads around the garden. Luckily, it is so attractive that it adds to the general design.
Will grow almost anywhere but prefers well-drained soil.
Can be transplanted when young but older plants do not move well.",50,77,8,8,56,70,"{'strawberry', 'zuchini', 'tomatoes', 'squash'}",set(),set(),{5},set()
